zip,type,primary_city,state,area_codes,latitude,longitude,estimated_population
1373,STANDARD,South Deerfield,MA,413,42.47,-72.59,4019
1375,STANDARD,Sunderland,MA,413,42.46,-72.58,2777
1376,STANDARD,Turners Falls,MA,413,42.59,-72.55,3968
1378,STANDARD,Warwick,MA,978,42.68,-72.33,611
1379,STANDARD,Wendell,MA,978,42.55,-72.4,625
1380,STANDARD,Wendell Depot,MA,,42.58,-72.37,0
1420,STANDARD,Fitchburg,MA,"978,617",42.58,-71.81,28652
1430,STANDARD,Ashburnham,MA,978,42.63,-71.9,5364
1431,STANDARD,Ashby,MA,978,42.68,-71.81,2749
1432,STANDARD,Ayer,MA,978,42.56,-71.58,6017
1434,STANDARD,Devens,MA,,42.53,-71.61,0
1436,STANDARD,Baldwinville,MA,978,42.6,-72.07,2457
1438,PO BOX,East Templeton,MA,978,42.53,-72.05,614
1440,STANDARD,Gardner,MA,978,42.58,-71.98,15067
1441,UNIQUE,Westminster,MA,978,42.58,-71.98,0
1450,STANDARD,Groton,MA,978,42.6,-71.57,9198
1451,STANDARD,Harvard,MA,"978,617",42.5,-71.58,4672
1452,STANDARD,Hubbardston,MA,978,42.48,-72.01,3932
1453,STANDARD,Leominster,MA,"978,508",42.51,-71.77,34034
1460,STANDARD,Littleton,MA,"978,508,781",42.53,-71.47,8001
1462,STANDARD,Lunenburg,MA,978,42.59,-71.72,9073
1463,STANDARD,Pepperell,MA,978,42.66,-71.58,10100
1464,STANDARD,Shirley,MA,978,42.54,-71.65,5028
1467,PO BOX,Still River,MA,978,42.49,-71.61,0
1468,STANDARD,Templeton,MA,978,42.55,-72.06,3579
1469,STANDARD,Townsend,MA,978,42.66,-71.7,6266
1470,UNIQUE,Groton,MA,351,42.6,-71.57,0
1471,UNIQUE,Groton,MA,351,42.6,-71.57,0
1472,PO BOX,West Groton,MA,978,42.61,-71.62,0
1473,STANDARD,Westminster,MA,978,42.55,-71.9,6741
1474,STANDARD,West Townsend,MA,978,42.66,-71.74,1866
1475,STANDARD,Winchendon,MA,978,42.68,-72.04,7879
1477,PO BOX,Winchendon Springs,MA,,42.69,-72.01,0
1501,STANDARD,Auburn,MA,"508,774",42.2,-71.83,14232
1503,STANDARD,Berlin,MA,978,42.38,-71.63,2462
1504,STANDARD,Blackstone,MA,"508,774",42.01,-71.5,7808
1505,STANDARD,Boylston,MA,"508,774",42.35,-71.73,3993
1506,STANDARD,Brookfield,MA,"508,413",42.21,-72.1,2920
1507,STANDARD,Charlton,MA,"508,774",42.13,-71.96,10873
1508,PO BOX,Charlton City,MA,,42.13,-71.96,795
1509,PO BOX,Charlton Depot,MA,,42.13,-71.96,0
1510,STANDARD,Clinton,MA,"978,617",42.41,-71.68,11365
1515,STANDARD,East Brookfield,MA,"508,774",42.22,-72.04,1985
1516,STANDARD,Douglas,MA,"508,774",42.05,-71.73,7565
1517,PO BOX,East Princeton,MA,,42.46,-71.89,0
1518,STANDARD,Fiskdale,MA,"508,774",42.12,-72.11,2639
1519,STANDARD,Grafton,MA,"508,774",42.2,-71.68,6093
1520,STANDARD,Holden,MA,"508,774",42.35,-71.85,12865
1521,STANDARD,Holland,MA,"413,508",42.05,-72.15,2069
1522,STANDARD,Jefferson,MA,508,42.38,-71.87,2984
1523,STANDARD,Lancaster,MA,978,42.45,-71.66,4777
1524,STANDARD,Leicester,MA,"508,774",42.25,-71.9,5678
1525,PO BOX,Linwood,MA,508,42.05,-71.64,677
1526,PO BOX,Manchaug,MA,508,42.12,-71.76,475
1527,STANDARD,Millbury,MA,"508,774",42.19,-71.76,11467
1529,STANDARD,Millville,MA,508,42.03,-71.58,2734
1531,STANDARD,New Braintree,MA,"413,508,774",42.31,-72.13,865
1532,STANDARD,Northborough,MA,"508,774",42.31,-71.64,13113
1534,STANDARD,Northbridge,MA,508,42.15,-71.65,4939
1535,STANDARD,North Brookfield,MA,508,42.27,-72.08,3925
1536,STANDARD,North Grafton,MA,508,42.23,-71.69,5828
1537,STANDARD,North Oxford,MA,508,42.16,-71.88,1951
1538,PO BOX,North Uxbridge,MA,508,42.05,-71.64,491
1540,STANDARD,Oxford,MA,508,42.11,-71.87,9660
1541,STANDARD,Princeton,MA,978,42.45,-71.86,3224
1542,STANDARD,Rochdale,MA,508,42.2,-71.9,1907
1543,STANDARD,Rutland,MA,"508,774",42.36,-71.95,6893
1545,STANDARD,Shrewsbury,MA,"508,774",42.3,-71.71,30759
1546,UNIQUE,Shrewsbury,MA,508,42.3,-71.71,0
1550,STANDARD,Southbridge,MA,"508,774",42.08,-72.03,13355
1560,STANDARD,South Grafton,MA,508,42.17,-71.68,3675
1561,PO BOX,South Lancaster,MA,978,42.43,-71.69,925
1562,STANDARD,Spencer,MA,"508,774",42.24,-71.99,9747
1564,STANDARD,Sterling,MA,978,42.43,-71.75,7104
1566,STANDARD,Sturbridge,MA,"508,774",42.09,-72.06,5934
1568,STANDARD,Upton,MA,"508,774",42.17,-71.61,6440
1569,STANDARD,Uxbridge,MA,"508,774",42.08,-71.6,11159
1570,STANDARD,Webster,MA,"508,617,774",42.04,-71.87,13308
1571,STANDARD,Dudley,MA,508,42.05,-71.93,9200
1580,UNIQUE,Westborough,MA,508,42.26,-71.61,0
1581,STANDARD,Westborough,MA,"508,617,774",42.26,-71.61,16691
1582,UNIQUE,Westborough,MA,508,42.26,-71.61,0
1583,STANDARD,West Boylston,MA,"508,978",42.36,-71.78,5947
1585,STANDARD,West Brookfield,MA,"508,413",42.23,-72.14,3585
1586,PO BOX,West Millbury,MA,,42.19,-71.76,0
1588,STANDARD,Whitinsville,MA,"508,774",42.11,-71.67,7937
1590,STANDARD,Sutton,MA,508,42.15,-71.76,7702
1601,PO BOX,Worcester,MA,508,42.26,-71.8,0
1602,STANDARD,Worcester,MA,508,42.26,-71.8,18196
1603,STANDARD,Worcester,MA,508,42.26,-71.8,14610
1604,STANDARD,Worcester,MA,508,42.26,-71.8,26294
1605,STANDARD,Worcester,MA,508,42.26,-71.8,18175
1606,STANDARD,Worcester,MA,508,42.26,-71.8,16439
1607,STANDARD,Worcester,MA,508,42.26,-71.8,6146
1608,STANDARD,Worcester,MA,"508,774,978",42.26,-71.8,2396
1609,STANDARD,Worcester,MA,"508,774,978",42.26,-71.8,11815
1610,STANDARD,Worcester,MA,"508,774",42.26,-71.8,12571
1611,STANDARD,Cherry Valley,MA,508,42.23,-71.87,1777
